SKU Name,Full SKU,Types,Sizes,Quantity in Stock,Item Name,Supplier Name,Category,Price,Price USD,Sale Price,Profit Margin,Mark Up %,Stock,Status,Notes
blLhasaGuchen,blLhasaGuchenBurgundyXL,Burgundy,XL,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
blLhasaGuchen,blLhasaGuchenBurgundyL,Burgundy,L,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
blLhasaGuchen,blLhasaGuchenGreen,Green,,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
blLhasaGuchen,blLhasaGuchenBlue,Blue,,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
gcKnife,gcKnifeGirl,Girl,N/A,0,Girl's Decor Dagger,Gyencha,Jewelry,¥30.00,$4.17,$20.00,$15.83,480.03%,,,
losVestShirtMen,losVestShirtMenBlackXL,Black,XL,0,Phosar Wonju,Losan,Wonju,¥50.00,$6.94,,,,,,
losVestShirtMen,losVestShirtMenRedXL,Red,XL,0,Phosar Wonju,Losan,Wonju,¥50.00,$6.94,,,,,,
losVestShirtMen,losVestShirtMenMustardXL,Mustard,XL,0,Phosar Wonju,Losan,Wonju,¥50.00,$6.94,,,,,,
losVestShirtMen,losVestShirtMenWine RedXL,Wine Red,XL,0,Phosar Wonju,Losan,Wonju,¥50.00,$6.94,,,,,,
losVestShirtMen,losVestShirtMenBlackXXL,Black,XXL,0,Phosar Wonju,Losan,Wonju,¥50.00,$6.94,,,,,,
losVestShirtMen,losVestShirtMenRedXXL,Red,XXL,0,Phosar Wonju,Losan,Wonju,¥50.00,$6.94,,,,,,
losVestShirtMen,losVestShirtMenMustardXXL,Mustard,XXL,0,Phosar Wonju,Losan,Wonju,¥50.00,$6.94,,,,,,
losVestShirtMen,losVestShirtMenWine RedXXL,Wine Red,XXL,0,Phosar Wonju,Losan,Wonju,¥50.00,$6.94,,,,,,
